artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Justin Bieber;Sorry;200786;2015;99.945;pop;0.76;0;-3.669
Drake;The Motto;181573;2011;201.8;hip hop, pop, R&B;0.442;1;-8.558
Ashanti;Rock Wit U (Awww Baby);209120;2003;94.998;hip hop, pop, R&B;0.797;4;-3.006
Sean Paul;We Be Burnin';213066;2005;117.0;hip hop, pop;0.803;1;-4.195
Gigi D'Agostino;The Riddle;285426;1999;127.002;pop;0.876;6;-6.87
Imagine Dragons;Thunder;187146;2017;167.88;rock;0.81;0;-4.749
Coldplay;Paradise;278719;2011;139.631;rock, pop;0.585;5;-6.761
James Morrison;Broken Strings;250453;2008;111.91;pop, R&B;0.717;1;-4.914
Demi Lovato;Confident;205745;2015;130.064;pop;0.749;3;-6.251
Enrique Iglesias;DUELE EL CORAZON (feat. Wisin);199693;2016;91.03;pop, latin;0.908;8;-3.254
Britney Spears;Gimme More;251240;2007;113.324;pop;0.844;2;-3.131
Alexandra Stan;Mr. Saxobeat;195105;2011;126.976;pop, Dance/Electronic;0.931;11;-4.152
Britney Spears;Womanizer;224400;2008;139.0;pop;0.695;11;-5.226
Kelly Rowland;Stole;249293;2002;79.993;hip hop, pop, R&B;0.718;7;-4.984
Shinedown;Second Chance;222066;2008;100.011;rock, metal;0.796;0;-4.501
Eiffel 65;Move Your Body - Gabry Ponte Original Radio Edit;268863;1999;129.962;pop;0.958;7;-9.664
Nickelback;How You Remind Me;223840;2001;172.094;rock, metal;0.764;10;-5.042
Rihanna;Russian Roulette;227533;2009;80.051;hip hop, pop, R&B;0.486;6;-5.754
The Saturdays;What About Us;220682;2013;123.973;pop, Dance/Electronic;0.68;7;-4.751
Brian McFadden;Almost Here;229826;2004;77.984;set();0.452;9;-7.324
Coldplay;Every Teardrop Is a Waterfall;240796;2011;117.98;rock, pop;0.732;9;-6.883
Simply Red;Sunrise;199040;2008;105.987;rock, R&B, Folk/Acoustic, pop;0.733;5;-5.123
Cassie;Me & U;192213;2006;99.99;pop, R&B;0.454;8;-4.802
Britney Spears;Till the World Ends;237946;2011;131.951;pop;0.705;8;-5.747
Tyga;Rack City;203200;2012;98.986;hip hop, pop;0.339;1;-10.881
Edward Maya;Stereo Love - Radio Edit;184573;2010;127.041;pop;0.783;1;-3.896
Tove Lo;Talking Body;238426;2014;119.999;pop, Dance/Electronic;0.761;4;-5.449
Shawn Mendes;Treat You Better;187973;2017;82.695;pop;0.819;10;-4.078
Sammie;I Like It;251040;2000;129.963;hip hop, pop, R&B;0.656;9;-8.529
Dido;White Flag;240040;2003;169.951;pop;0.525;5;-6.823
One Direction;Night Changes;226600;2014;120.001;pop;0.52;8;-7.747
Beyoncé;Halo;261640;2008;79.983;pop, R&B;0.72;11;-5.908
Natasha Bedingfield;Pocketful of Sunshine;203440;2008;110.019;pop;0.881;9;-3.892
Cheat Codes;Sex;228361;2016;102.42;pop, Dance/Electronic;0.692;0;-5.825
